scenario,level,cluster,name,year,metric,value
low,line,c1,meat,2028,volume,135.0
low,line,c1,meat,2028,gross_output,388800.0
low,line,c1,meat,2028,value_added,66096.0
low,line,c1,meat,2028,indirect_va,34058.88
low,line,c1,meat,2028,induced_va,4522.043076923078
low,line,c1,meat,2028,total_va,104676.92307692308
low,line,c1,meat,2028,household_income,47104.61538461538
low,line,c1,meat,2028,import_substitution,19440.0
low,line,c1,meat,2028,exports,369360.0
low,line,c1,meat,2028,imported_inputs,38880.0
low,line,c1,meat,2028,forgone_exports,267300.0
low,line,c1,meat,2028,net_fx,82620.0
low,line,c1,meat,2028,jobs,3.5999999999999996
low,line,c1,meat,2028,investment,1875000.0
low,line,c1,meat,2028,capital_goods_imports,1593750.0
low,line,c1,meat,2028,tax_gross,2616.923076923077
low,line,c1,meat,2028,customs_forgone,1166.3999999999999
low,line,c1,meat,2028,tax_revenue,1450.5230769230773
low,line,c1,meat,2029,volume,855.0
low,line,c1,meat,2029,gross_output,2462400.0
low,line,c1,meat,2029,value_added,418608.0
low,line,c1,meat,2029,indirect_va,215706.24000000002
low,line,c1,meat,2029,induced_va,28639.606153846158
low,line,c1,meat,2029,total_va,662953.8461538461
low,line,c1,meat,2029,household_income,298329.23076923075
low,line,c1,meat,2029,import_substitution,123120.0
low,line,c1,meat,2029,exports,2339280.0
low,line,c1,meat,2029,imported_inputs,246240.0
low,line,c1,meat,2029,forgone_exports,1692900.0
low,line,c1,meat,2029,net_fx,523260.0
low,line,c1,meat,2029,jobs,14.399999999999999
low,line,c1,meat,2029,investment,5625000.000000001
low,line,c1,meat,2029,capital_goods_imports,4781250.000000001
low,line,c1,meat,2029,tax_gross,16573.846153846152
low,line,c1,meat,2029,customs_forgone,7387.2
low,line,c1,meat,2029,tax_revenue,9186.646153846152
low,line,c1,meat,2030,volume,2340.0
low,line,c1,meat,2030,gross_output,6739200.0
low,line,c1,meat,2030,value_added,1145664.0
low,line,c1,meat,2030,indirect_va,590353.92
low,line,c1,meat,2030,induced_va,78382.08000000002
low,line,c1,meat,2030,total_va,1814400.0
low,line,c1,meat,2030,household_income,816480.0
low,line,c1,meat,2030,import_substitution,336960.0
low,line,c1,meat,2030,exports,6402240.0
low,line,c1,meat,2030,imported_inputs,673920.0
low,line,c1,meat,2030,forgone_exports,4633200.0
low,line,c1,meat,2030,net_fx,1432080.0
low,line,c1,meat,2030,jobs,28.799999999999997
low,line,c1,meat,2030,investment,7500000.0
low,line,c1,meat,2030,capital_goods_imports,6375000.0
low,line,c1,meat,2030,tax_gross,45360.0
low,line,c1,meat,2030,customs_forgone,20217.6
low,line,c1,meat,2030,tax_revenue,25142.4
low,line,c1,meat,2031,volume,4140.0
low,line,c1,meat,2031,gross_output,11923200.0
low,line,c1,meat,2031,value_added,2026944.0000000002
low,line,c1,meat,2031,indirect_va,1044472.3200000001
low,line,c1,meat,2031,induced_va,138675.98769230774
low,line,c1,meat,2031,total_va,3210092.307692308
low,line,c1,meat,2031,household_income,1444541.5384615387
low,line,c1,meat,2031,import_substitution,596160.0
low,line,c1,meat,2031,exports,11327040.0
low,line,c1,meat,2031,imported_inputs,1192320.0
low,line,c1,meat,2031,forgone_exports,8197200.0
low,line,c1,meat,2031,net_fx,2533680.0
low,line,c1,meat,2031,jobs,43.199999999999996
low,line,c1,meat,2031,investment,7499999.999999999
low,line,c1,meat,2031,capital_goods_imports,6374999.999999999
low,line,c1,meat,2031,tax_gross,80252.3076923077
low,line,c1,meat,2031,customs_forgone,35769.6
low,line,c1,meat,2031,tax_revenue,44482.707692307704
low,line,c1,meat,2032,volume,5940.0
low,line,c1,meat,2032,gross_output,17107200.0
low,line,c1,meat,2032,value_added,2908224.0
low,line,c1,meat,2032,indirect_va,1498590.72
low,line,c1,meat,2032,induced_va,198969.8953846154
low,line,c1,meat,2032,total_va,4605784.615384615
low,line,c1,meat,2032,household_income,2072603.0769230768
low,line,c1,meat,2032,import_substitution,855360.0
low,line,c1,meat,2032,exports,16251840.0
low,line,c1,meat,2032,imported_inputs,1710720.0
low,line,c1,meat,2032,forgone_exports,11761200.0
low,line,c1,meat,2032,net_fx,3635280.0
low,line,c1,meat,2032,jobs,57.599999999999994
low,line,c1,meat,2032,investment,7500000.000000002
low,line,c1,meat,2032,capital_goods_imports,6375000.000000002
low,line,c1,meat,2032,tax_gross,115144.61538461538
low,line,c1,meat,2032,customs_forgone,51321.6
low,line,c1,meat,2032,tax_revenue,63823.01538461538
low,line,c1,tanning,2028,volume,12375.000000000002
low,line,c1,tanning,2028,gross_output,22275.000000000004
low,line,c1,tanning,2028,value_added,7796.250000000001
low,line,c1,tanning,2028,indirect_va,1336.5000000000005
low,line,c1,tanning,2028,induced_va,412.34824414715735
low,line,c1,tanning,2028,total_va,9545.098244147159
low,line,c1,tanning,2028,household_income,4295.2942098662215
low,line,c1,tanning,2028,import_substitution,2227.5000000000005
low,line,c1,tanning,2028,exports,20047.500000000004
low,line,c1,tanning,2028,imported_inputs,8910.000000000002
low,line,c1,tanning,2028,forgone_exports,7425.000000000001
low,line,c1,tanning,2028,net_fx,5940.000000000001
low,line,c1,tanning,2028,jobs,13.499999999999998
low,line,c1,tanning,2028,investment,675000.0
low,line,c1,tanning,2028,capital_goods_imports,573750.0
low,line,c1,tanning,2028,tax_gross,238.62745610367898
low,line,c1,tanning,2028,customs_forgone,133.65000000000003
low,line,c1,tanning,2028,tax_revenue,104.97745610367895
low,line,c1,tanning,2029,volume,78375.00000000001
low,line,c1,tanning,2029,gross_output,141075.00000000003
low,line,c1,tanning,2029,value_added,49376.25000000001
low,line,c1,tanning,2029,indirect_va,8464.500000000004
low,line,c1,tanning,2029,induced_va,2611.5388795986637
low,line,c1,tanning,2029,total_va,60452.28887959868
low,line,c1,tanning,2029,household_income,27203.52999581941
low,line,c1,tanning,2029,import_substitution,14107.500000000004
low,line,c1,tanning,2029,exports,126967.50000000003
low,line,c1,tanning,2029,imported_inputs,56430.000000000015
low,line,c1,tanning,2029,forgone_exports,47025.00000000001
low,line,c1,tanning,2029,net_fx,37620.00000000001
low,line,c1,tanning,2029,jobs,53.99999999999999
low,line,c1,tanning,2029,investment,2025000.0000000002
low,line,c1,tanning,2029,capital_goods_imports,1721250.0000000002
low,line,c1,tanning,2029,tax_gross,1511.307221989967
low,line,c1,tanning,2029,customs_forgone,846.4500000000002
low,line,c1,tanning,2029,tax_revenue,664.8572219899669
low,line,c1,tanning,2030,volume,214500.00000000003
low,line,c1,tanning,2030,gross_output,386100.00000000006
low,line,c1,tanning,2030,value_added,135135.0
low,line,c1,tanning,2030,indirect_va,23166.000000000007
low,line,c1,tanning,2030,induced_va,7147.369565217392
low,line,c1,tanning,2030,total_va,165448.3695652174
low,line,c1,tanning,2030,household_income,74451.76630434784
low,line,c1,tanning,2030,import_substitution,38610.00000000001
low,line,c1,tanning,2030,exports,347490.00000000006
low,line,c1,tanning,2030,imported_inputs,154440.00000000003
low,line,c1,tanning,2030,forgone_exports,128700.00000000001
low,line,c1,tanning,2030,net_fx,102960.00000000001
low,line,c1,tanning,2030,jobs,107.99999999999999
low,line,c1,tanning,2030,investment,2700000.0
low,line,c1,tanning,2030,capital_goods_imports,2295000.0
low,line,c1,tanning,2030,tax_gross,4136.209239130435
low,line,c1,tanning,2030,customs_forgone,2316.6000000000004
low,line,c1,tanning,2030,tax_revenue,1819.6092391304346
low,line,c1,tanning,2031,volume,379500.00000000006
low,line,c1,tanning,2031,gross_output,683100.0000000001
low,line,c1,tanning,2031,value_added,239085.00000000003
low,line,c1,tanning,2031,indirect_va,40986.000000000015
low,line,c1,tanning,2031,induced_va,12645.346153846158
low,line,c1,tanning,2031,total_va,292716.34615384624
low,line,c1,tanning,2031,household_income,131722.3557692308
low,line,c1,tanning,2031,import_substitution,68310.00000000001
low,line,c1,tanning,2031,exports,614790.0000000001
low,line,c1,tanning,2031,imported_inputs,273240.00000000006
