reporterCode,flowCode,partnerCode,cmdCode,refYear,primaryValue,fobvalue,cifvalue,netWgt,qty,qtyUnitCode,classificationCode,isReported,isAggregate
512,M,706,0303,2022,1169916.773,,1169916.773,913560.0,913560.0,8,H6,False,True
512,M,706,0307,2022,154062.418,,154062.418,39100.0,39100.0,8,H6,False,True
512,M,706,1515,2022,3862.159,,3862.159,2432.0,2432.0,8,H6,False,True
512,M,706,4102,2022,31547.464,,31547.464,18500.0,18500.0,8,H6,False,True
512,M,706,0302,2023,45674.902,,45674.902,24060.0,24060.0,8,H6,False,True
512,M,706,0303,2023,3417014.299,,3417014.299,3256900.0,3256900.0,8,H6,False,True
512,M,706,0306,2023,103302.991,,103302.991,14898.0,14898.0,8,H6,False,True
512,M,706,0307,2023,77869.961,,77869.961,32200.0,32200.0,8,H6,False,True
512,M,706,1207,2023,29716.515,,29716.515,35648.0,35648.0,8,H6,False,True
512,M,706,0303,2024,2960561.764,,2960561.764,2723430.0,2723430.0,8,H6,False,True
512,M,706,1207,2024,1553778.931,,1553778.931,1053950.0,1053950.0,8,H6,False,True
784,M,706,0302,2022,43322.267,,43322.267,23751.0,23751.0,8,H6,False,True
784,M,706,0303,2022,146885.932,,146885.932,36454.0,36454.0,8,H6,False,True
784,M,706,0305,2022,826.728,,826.728,430.0,430.0,8,H6,False,True
784,M,706,0306,2022,20775321.122,,20775321.122,714325.0,714325.0,8,H6,False,True
784,M,706,0307,2022,69989.651,,69989.651,14862.0,14862.0,8,H6,False,True
784,M,706,0805,2022,1941156.188,,1941156.188,4452791.0,4452791.0,8,H6,False,True
784,M,706,1207,2022,473097.877,,473097.877,278194.0,278194.0,8,H6,False,True
784,M,706,1515,2022,71440.652,,71440.652,106530.0,106530.0,8,H6,False,True
784,M,706,0302,2023,206950.772,,206950.772,66066.0,66066.0,8,H6,False,True
784,M,706,0303,2023,388067.891,,388067.891,113751.4,113751.4,8,H6,False,True
784,M,706,0304,2023,5.446,,5.446,50.0,50.0,8,H6,False,True
784,M,706,0305,2023,62.971,,62.971,12.0,12.0,8,H6,False,True
784,M,706,0306,2023,17141157.338,,17141157.338,571731.0,571731.0,8,H6,False,True
784,M,706,0307,2023,121422.374,,121422.374,42066.5,42066.5,8,H6,False,True
784,M,706,0805,2023,5264918.007,,5264918.007,9252030.0,9252030.0,8,H6,False,True
784,M,706,1207,2023,637816.146,,637816.146,378850.0,378850.0,8,H6,False,True
784,M,706,1515,2023,80735.785,,80735.785,129358.0,129358.0,8,H6,False,True
