=== PAGE 1 ===
# Somalia (FAOSTAT Area Code 201) rows from Production_Crops_Livestock_E_Africa.csv, reshaped to one line per item, element and year.
# Format: Somalia | Item | Element | Unit | Year | Value | Flag
Somalia | Asses | Stocks | An | 1961 | 28000.000000 | E
Somalia | Asses | Stocks | An | 1962 | 28000.000000 | E
Somalia | Asses | Stocks | An | 1963 | 27000.000000 | E
Somalia | Asses | Stocks | An | 1964 | 27000.000000 | E
Somalia | Asses | Stocks | An | 1965 | 26000.000000 | E
Somalia | Asses | Stocks | An | 1966 | 26000.000000 | E
Somalia | Asses | Stocks | An | 1967 | 25000.000000 | E
Somalia | Asses | Stocks | An | 1968 | 24292.000000 | E
Somalia | Asses | Stocks | An | 1969 | 24000.000000 | E
Somalia | Asses | Stocks | An | 1970 | 23000.000000 | E
Somalia | Asses | Stocks | An | 1971 | 22000.000000 | E
Somalia | Asses | Stocks | An | 1972 | 22000.000000 | E
Somalia | Asses | Stocks | An | 1973 | 22000.000000 | E
Somalia | Asses | Stocks | An | 1974 | 20000.000000 | E
Somalia | Asses | Stocks | An | 1975 | 21000.000000 | E
Somalia | Asses | Stocks | An | 1976 | 22000.000000 | E
Somalia | Asses | Stocks | An | 1977 | 22000.000000 | E
Somalia | Asses | Stocks | An | 1978 | 22000.000000 | E
Somalia | Asses | Stocks | An | 1979 | 22500.000000 | E
Somalia | Asses | Stocks | An | 1980 | 23000.000000 | E
Somalia | Asses | Stocks | An | 1981 | 23500.000000 | E
Somalia | Asses | Stocks | An | 1982 | 23800.000000 | E
Somalia | Asses | Stocks | An | 1983 | 24000.000000 | E
Somalia | Asses | Stocks | An | 1984 | 24200.000000 | E
Somalia | Asses | Stocks | An | 1985 | 24400.000000 | E
Somalia | Asses | Stocks | An | 1986 | 24600.000000 | E
Somalia | Asses | Stocks | An | 1987 | 24800.000000 | E
Somalia | Asses | Stocks | An | 1988 | 25000.000000 | E
Somalia | Asses | Stocks | An | 1989 | 25200.000000 | E
Somalia | Asses | Stocks | An | 1990 | 25300.000000 | E
Somalia | Asses | Stocks | An | 1991 | 20000.000000 | E
Somalia | Asses | Stocks | An | 1992 | 15000.000000 | E
Somalia | Asses | Stocks | An | 1993 | 18000.000000 | E
Somalia | Asses | Stocks | An | 1994 | 19000.000000 | E
Somalia | Asses | Stocks | An | 1995 | 19500.000000 | E
Somalia | Asses | Stocks | An | 1996 | 20000.000000 | E
Somalia | Asses | Stocks | An | 1997 | 20500.000000 | E
Somalia | Asses | Stocks | An | 1998 | 19000.000000 | E
Somalia | Asses | Stocks | An | 1999 | 19000.000000 | E
Somalia | Asses | Stocks | An | 2000 | 20000.000000 | E
Somalia | Asses | Stocks | An | 2001 | 21000.000000 | E
Somalia | Asses | Stocks | An | 2002 | 21000.000000 | E
Somalia | Asses | Stocks | An | 2003 | 22000.000000 | E
Somalia | Asses | Stocks | An | 2004 | 22000.000000 | E
Somalia | Asses | Stocks | An | 2005 | 22000.000000 | E
Somalia | Asses | Stocks | An | 2006 | 22000.000000 | E
Somalia | Asses | Stocks | An | 2007 | 22000.000000 | E
Somalia | Asses | Stocks | An | 2008 | 22000.000000 | E
Somalia | Asses | Stocks | An | 2009 | 22000.000000 | E
Somalia | Asses | Stocks | An | 2010 | 22000.000000 | E
Somalia | Asses | Stocks | An | 2011 | 22000.000000 | E
Somalia | Asses | Stocks | An | 2012 | 22000.000000 | E
Somalia | Asses | Stocks | An | 2013 | 22000.000000 | E
Somalia | Asses | Stocks | An | 2014 | 22000.000000 | E
Somalia | Asses | Stocks | An | 2015 | 22080.000000 | I
Somalia | Asses | Stocks | An | 2016 | 22224.000000 | I
Somalia | Asses | Stocks | An | 2017 | 22370.000000 | I
Somalia | Asses | Stocks | An | 2018 | 22496.000000 | I
Somalia | Asses | Stocks | An | 2019 | 22604.000000 | I
Somalia | Asses | Stocks | An | 2020 | 22692.000000 | I
Somalia | Asses | Stocks | An | 2021 | 22827.000000 | I
Somalia | Asses | Stocks | An | 2022 | 22794.000000 | I
Somalia | Asses | Stocks | An | 2023 | 22879.000000 | I
Somalia | Asses | Stocks | An | 2024 | 22964.000000 | I
Somalia | Bananas | Area harvested | ha | 1961 | 11000.000000 | A
Somalia | Bananas | Area harvested | ha | 1962 | 12100.000000 | A
Somalia | Bananas | Area harvested | ha | 1963 | 11000.000000 | A
Somalia | Bananas | Area harvested | ha | 1964 | 9800.000000 | A
Somalia | Bananas | Area harvested | ha | 1965 | 10700.000000 | A
Somalia | Bananas | Area harvested | ha | 1966 | 5300.000000 | X
Somalia | Bananas | Area harvested | ha | 1967 | 4900.000000 | X
Somalia | Bananas | Area harvested | ha | 1968 | 4970.000000 | X
Somalia | Bananas | Area harvested | ha | 1969 | 5050.000000 | X
Somalia | Bananas | Area harvested | ha | 1970 | 4900.000000 | X
Somalia | Bananas | Area harvested | ha | 1971 | 5670.000000 | X
Somalia | Bananas | Area harvested | ha | 1972 | 6370.000000 | X
Somalia | Bananas | Area harvested | ha | 1973 | 6800.000000 | X
Somalia | Bananas | Area harvested | ha | 1974 | 6300.000000 | X
Somalia | Bananas | Area harvested | ha | 1975 | 6200.000000 | A
Somalia | Bananas | Area harvested | ha | 1976 | 5300.000000 | A
Somalia | Bananas | Area harvested | ha | 1977 | 5200.000000 | A
Somalia | Bananas | Area harvested | ha | 1978 | 5200.000000 | A
Somalia | Bananas | Area harvested | ha | 1979 | 5800.000000 | A
Somalia | Bananas | Area harvested | ha | 1980 | 2600.000000 | A
Somalia | Bananas | Area harvested | ha | 1981 | 2900.000000 | A
Somalia | Bananas | Area harvested | ha | 1982 | 2800.000000 | A
Somalia | Bananas | Area harvested | ha | 1983 | 2800.000000 | A
Somalia | Bananas | Area harvested | ha | 1984 | 3000.000000 | A
Somalia | Bananas | Area harvested | ha | 1985 | 2700.000000 | A
Somalia | Bananas | Area harvested | ha | 1986 | 5100.000000 | A
Somalia | Bananas | Area harvested | ha | 1987 | 6100.000000 | A
Somalia | Bananas | Area harvested | ha | 1988 | 6400.000000 | A
Somalia | Bananas | Area harvested | ha | 1989 | 6000.000000 | E
Somalia | Bananas | Area harvested | ha | 1990 | 6200.000000 | E
Somalia | Bananas | Area harvested | ha | 1991 | 4200.000000 | E
Somalia | Bananas | Area harvested | ha | 1992 | 3686.000000 | I
Somalia | Bananas | Area harvested | ha | 1993 | 3300.000000 | E
Somalia | Bananas | Area harvested | ha | 1994 | 2500.000000 | A
Somalia | Bananas | Area harvested | ha | 1995 | 2472.000000 | I
Somalia | Bananas | Area harvested | ha | 1996 | 2631.000000 | I
Somalia | Bananas | Area harvested | ha | 1997 | 2544.000000 | I
Somalia | Bananas | Area harvested | ha | 1998 | 2400.000000 | E
Somalia | Bananas | Area harvested | ha | 1999 | 2642.000000 | I
Somalia | Bananas | Area harvested | ha | 2000 | 2300.000000 | X
Somalia | Bananas | Area harvested | ha | 2001 | 2120.000000 | X
Somalia | Bananas | Area harvested | ha | 2002 | 2200.000000 | X
Somalia | Bananas | Area harvested | ha | 2003 | 2200.000000 | X
Somalia | Bananas | Area harvested | ha | 2004 | 2200.000000 | X
Somalia | Bananas | Area harvested | ha | 2005 | 2239.000000 | I
Somalia | Bananas | Area harvested | ha | 2006 | 2112.000000 | I
Somalia | Bananas | Area harvested | ha | 2007 | 1819.000000 | I
Somalia | Bananas | Area harvested | ha | 2008 | 1790.000000 | I
Somalia | Bananas | Area harvested | ha | 2009 | 1719.000000 | I
Somalia | Bananas | Area harvested | ha | 2010 | 1649.000000 | I
Somalia | Bananas | Area harvested | ha | 2011 | 1579.000000 | I
Somalia | Bananas | Area harvested | ha | 2012 | 1509.000000 | I
Somalia | Bananas | Area harvested | ha | 2013 | 1439.000000 | I
Somalia | Bananas | Area harvested | ha | 2014 | 1368.000000 | I
Somalia | Bananas | Area harvested | ha | 2015 | 1310.000000 | I
Somalia | Bananas | Area harvested | ha | 2016 | 1372.000000 | E
Somalia | Bananas | Area harvested | ha | 2017 | 1415.000000 | I
Somalia | Bananas | Area harvested | ha | 2018 | 1366.000000 | E
Somalia | Bananas | Area harvested | ha | 2019 | 1384.000000 | E
Somalia | Bananas | Area harvested | ha | 2020 | 1384.000000 | I
Somalia | Bananas | Area harvested | ha | 2021 | 1378.000000 | E
Somalia | Bananas | Area harvested | ha | 2022 | 1382.000000 | E
Somalia | Bananas | Area harvested | ha | 2023 | 1382.000000 | E
Somalia | Bananas | Area harvested | ha | 2024 | 1381.000000 | E
Somalia | Bananas | Yield | kg/ha | 1961 | 8909.100000 | A
Somalia | Bananas | Yield | kg/ha | 1962 | 8843.000000 | A
Somalia | Bananas | Yield | kg/ha | 1963 | 11454.500000 | A
Somalia | Bananas | Yield | kg/ha | 1964 | 14285.700000 | A
Somalia | Bananas | Yield | kg/ha | 1965 | 14672.900000 | A
Somalia | Bananas | Yield | kg/ha | 1966 | 23924.500000 | E
Somalia | Bananas | Yield | kg/ha | 1967 | 23571.400000 | E
Somalia | Bananas | Yield | kg/ha | 1968 | 22998.000000 | E
Somalia | Bananas | Yield | kg/ha | 1969 | 23386.100000 | E
Somalia | Bananas | Yield | kg/ha | 1970 | 28632.700000 | E
Somalia | Bananas | Yield | kg/ha | 1971 | 26596.100000 | E
Somalia | Bananas | Yield | kg/ha | 1972 | 29591.800000 | E
Somalia | Bananas | Yield | kg/ha | 1973 | 24750.000000 | E
Somalia | Bananas | Yield | kg/ha | 1974 | 25000.000000 | E
Somalia | Bananas | Yield | kg/ha | 1975 | 17096.800000 | A
Somalia | Bananas | Yield | kg/ha | 1976 | 18226.400000 | A
Somalia | Bananas | Yield | kg/ha | 1977 | 13788.500000 | A
Somalia | Bananas | Yield | kg/ha | 1978 | 13403.800000 | A
Somalia | Bananas | Yield | kg/ha | 1979 | 12448.300000 | A
Somalia | Bananas | Yield | kg/ha | 1980 | 23230.800000 | A
Somalia | Bananas | Yield | kg/ha | 1981 | 20344.800000 | A
Somalia | Bananas | Yield | kg/ha | 1982 | 28107.100000 | A
Somalia | Bananas | Yield | kg/ha | 1983 | 31750.000000 | A
Somalia | Bananas | Yield | kg/ha | 1984 | 20733.300000 | A
Somalia | Bananas | Yield | kg/ha | 1985 | 22222.200000 | A
Somalia | Bananas | Yield | kg/ha | 1986 | 18411.800000 | A
Somalia | Bananas | Yield | kg/ha | 1987 | 17704.900000 | A
Somalia | Bananas | Yield | kg/ha | 1988 | 18000.000000 | A
Somalia | Bananas | Yield | kg/ha | 1989 | 17416.700000 | E
Somalia | Bananas | Yield | kg/ha | 1990 | 17741.900000 | E
Somalia | Bananas | Yield | kg/ha | 1991 | 16666.700000 | E
Somalia | Bananas | Yield | kg/ha | 1992 | 16999.700000 | E
Somalia | Bananas | Yield | kg/ha | 1993 | 16666.700000 | E
Somalia | Bananas | Yield | kg/ha | 1994 | 17000.000000 | A
Somalia | Bananas | Yield | kg/ha | 1995 | 16988.600000 | E
Somalia | Bananas | Yield | kg/ha | 1996 | 16972.700000 | E
Somalia | Bananas | Yield | kg/ha | 1997 | 16961.200000 | E
Somalia | Bananas | Yield | kg/ha | 1998 | 16666.700000 | E
Somalia | Bananas | Yield | kg/ha | 1999 | 17034.600000 | E
Somalia | Bananas | Yield | kg/ha | 2000 | 18260.900000 | E
Somalia | Bananas | Yield | kg/ha | 2001 | 16981.100000 | X
Somalia | Bananas | Yield | kg/ha | 2002 | 16772.700000 | X
Somalia | Bananas | Yield | kg/ha | 2003 | 16772.700000 | X
Somalia | Bananas | Yield | kg/ha | 2004 | 16772.700000 | X
Somalia | Bananas | Yield | kg/ha | 2005 | 16973.000000 | E
Somalia | Bananas | Yield | kg/ha | 2006 | 16988.100000 | E
Somalia | Bananas | Yield | kg/ha | 2007 | 17006.900000 | E
Somalia | Bananas | Yield | kg/ha | 2008 | 17015.300000 | E
Somalia | Bananas | Yield | kg/ha | 2009 | 17023.600000 | E
Somalia | Bananas | Yield | kg/ha | 2010 | 17031.900000 | E
Somalia | Bananas | Yield | kg/ha | 2011 | 17040.200000 | E
Somalia | Bananas | Yield | kg/ha | 2012 | 17048.500000 | E
Somalia | Bananas | Yield | kg/ha | 2013 | 17056.900000 | E
Somalia | Bananas | Yield | kg/ha | 2014 | 17057.500000 | E
Somalia | Bananas | Yield | kg/ha | 2015 | 17059.100000 | E
