=== PAGE 1 ===
# Somalia (FAOSTAT Area Code 201) rows from Trade_CropsLivestock_E_Africa.csv, reshaped to one line per item, element and year.
# Format: Somalia | Item | Element | Unit | Year | Value | Flag
Somalia | Almonds, in shell | Import quantity | t | 2013 | 12.000000 | X
Somalia | Almonds, in shell | Import quantity | t | 2014 | 12.090000 | X
Somalia | Almonds, in shell | Import quantity | t | 2015 | 26.860000 | X
Somalia | Almonds, in shell | Import quantity | t | 2016 | 30.000000 | X
Somalia | Almonds, in shell | Import quantity | t | 2017 | 15.020000 | X
Somalia | Almonds, in shell | Import quantity | t | 2018 | 4.610000 | X
Somalia | Almonds, in shell | Import quantity | t | 2019 | 0.200000 | X
Somalia | Almonds, in shell | Import quantity | t | 2020 | 0.080000 | X
Somalia | Almonds, in shell | Import quantity | t | 2021 | 6.870000 | X
Somalia | Almonds, in shell | Import quantity | t | 2022 | 27.800000 | X
Somalia | Almonds, in shell | Import quantity | t | 2023 | 66.250000 | X
Somalia | Almonds, in shell | Import quantity | t | 2024 | 0.160000 | X
Somalia | Almonds, in shell | Import value | 1000 USD | 2013 | 12.000000 | X
Somalia | Almonds, in shell | Import value | 1000 USD | 2014 | 75.000000 | X
Somalia | Almonds, in shell | Import value | 1000 USD | 2015 | 92.000000 | X
Somalia | Almonds, in shell | Import value | 1000 USD | 2016 | 19.000000 | X
Somalia | Almonds, in shell | Import value | 1000 USD | 2017 | 7.000000 | X
Somalia | Almonds, in shell | Import value | 1000 USD | 2018 | 19.000000 | X
Somalia | Almonds, in shell | Import value | 1000 USD | 2019 | 2.000000 | X
Somalia | Almonds, in shell | Import value | 1000 USD | 2020 | 2.000000 | X
Somalia | Almonds, in shell | Import value | 1000 USD | 2021 | 22.000000 | X
Somalia | Almonds, in shell | Import value | 1000 USD | 2022 | 113.000000 | X
Somalia | Almonds, in shell | Import value | 1000 USD | 2023 | 302.000000 | X
Somalia | Almonds, in shell | Import value | 1000 USD | 2024 | 1.000000 | X
Somalia | Almonds, in shell | Export quantity | t | 2016 | 1.490000 | X
Somalia | Almonds, in shell | Export value | 1000 USD | 2016 | 2.000000 | X
Somalia | Almonds, shelled | Import quantity | t | 2014 | 22.040000 | X
Somalia | Almonds, shelled | Import quantity | t | 2015 | 119.960000 | X
Somalia | Almonds, shelled | Import quantity | t | 2016 | 66.970000 | X
Somalia | Almonds, shelled | Import quantity | t | 2017 | 282.960000 | X
Somalia | Almonds, shelled | Import quantity | t | 2018 | 23.910000 | X
Somalia | Almonds, shelled | Import quantity | t | 2019 | 1.320000 | X
Somalia | Almonds, shelled | Import quantity | t | 2020 | 21.440000 | X
Somalia | Almonds, shelled | Import quantity | t | 2021 | 42.550000 | X
Somalia | Almonds, shelled | Import quantity | t | 2022 | 799.060000 | X
Somalia | Almonds, shelled | Import quantity | t | 2023 | 284.220000 | X
Somalia | Almonds, shelled | Import quantity | t | 2024 | 0.570000 | X
Somalia | Almonds, shelled | Import value | 1000 USD | 2014 | 91.000000 | X
Somalia | Almonds, shelled | Import value | 1000 USD | 2015 | 1159.000000 | X
Somalia | Almonds, shelled | Import value | 1000 USD | 2016 | 362.000000 | X
Somalia | Almonds, shelled | Import value | 1000 USD | 2017 | 1813.000000 | X
Somalia | Almonds, shelled | Import value | 1000 USD | 2018 | 165.000000 | X
Somalia | Almonds, shelled | Import value | 1000 USD | 2019 | 13.000000 | X
Somalia | Almonds, shelled | Import value | 1000 USD | 2020 | 151.000000 | X
Somalia | Almonds, shelled | Import value | 1000 USD | 2021 | 263.000000 | X
Somalia | Almonds, shelled | Import value | 1000 USD | 2022 | 3165.000000 | X
Somalia | Almonds, shelled | Import value | 1000 USD | 2023 | 1518.000000 | X
Somalia | Almonds, shelled | Import value | 1000 USD | 2024 | 5.000000 | X
Somalia | Animal oils and fats n.e.c. | Import quantity | t | 1961 | 0.000000 | A
Somalia | Animal oils and fats n.e.c. | Import quantity | t | 1962 | 0.000000 | A
Somalia | Animal oils and fats n.e.c. | Import quantity | t | 1963 | 0.000000 | A
Somalia | Animal oils and fats n.e.c. | Import quantity | t | 1964 | 0.000000 | A
Somalia | Animal oils and fats n.e.c. | Import quantity | t | 1965 | 0.000000 | A
Somalia | Animal oils and fats n.e.c. | Import quantity | t | 1966 | 0.000000 | A
Somalia | Animal oils and fats n.e.c. | Import quantity | t | 1967 | 0.000000 | A
Somalia | Animal oils and fats n.e.c. | Import quantity | t | 1968 | 8.000000 | A
Somalia | Animal oils and fats n.e.c. | Import quantity | t | 1969 | 0.000000 | A
Somalia | Animal oils and fats n.e.c. | Import quantity | t | 1970 | 30.000000 | A
Somalia | Animal oils and fats n.e.c. | Import quantity | t | 1971 | 1.000000 | A
Somalia | Animal oils and fats n.e.c. | Import quantity | t | 1972 | 2.000000 | A
Somalia | Animal oils and fats n.e.c. | Import quantity | t | 1973 | 2.000000 | A
Somalia | Animal oils and fats n.e.c. | Import quantity | t | 1974 | 0.000000 | A
Somalia | Animal oils and fats n.e.c. | Import quantity | t | 1975 | 0.000000 | A
Somalia | Animal oils and fats n.e.c. | Import quantity | t | 1976 | 12.000000 | A
Somalia | Animal oils and fats n.e.c. | Import quantity | t | 1977 | 0.000000 | A
Somalia | Animal oils and fats n.e.c. | Import quantity | t | 1978 | 0.000000 | A
Somalia | Animal oils and fats n.e.c. | Import quantity | t | 1979 | 0.000000 | A
Somalia | Animal oils and fats n.e.c. | Import quantity | t | 1980 | 0.000000 | A
Somalia | Animal oils and fats n.e.c. | Import quantity | t | 1981 | 0.000000 | A
Somalia | Animal oils and fats n.e.c. | Import quantity | t | 1982 | 0.000000 | A
Somalia | Animal oils and fats n.e.c. | Import quantity | t | 1983 | 0.000000 | A
Somalia | Animal oils and fats n.e.c. | Import quantity | t | 1984 | 0.000000 | A
Somalia | Animal oils and fats n.e.c. | Import quantity | t | 1985 | 0.000000 | A
Somalia | Animal oils and fats n.e.c. | Import quantity | t | 1986 | 0.000000 | A
Somalia | Animal oils and fats n.e.c. | Import quantity | t | 1987 | 0.000000 | A
Somalia | Animal oils and fats n.e.c. | Import quantity | t | 1988 | 0.000000 | A
Somalia | Animal oils and fats n.e.c. | Import quantity | t | 1989 | 0.000000 | A
Somalia | Animal oils and fats n.e.c. | Import quantity | t | 1990 | 0.000000 | A
Somalia | Animal oils and fats n.e.c. | Import quantity | t | 1991 | 0.000000 | A
Somalia | Animal oils and fats n.e.c. | Import quantity | t | 1992 | 0.000000 | A
Somalia | Animal oils and fats n.e.c. | Import quantity | t | 1993 | 0.000000 | A
Somalia | Animal oils and fats n.e.c. | Import quantity | t | 1994 | 0.000000 | E
Somalia | Animal oils and fats n.e.c. | Import quantity | t | 1995 | 0.000000 | E
