=== PAGE 1 ===
# UN Comtrade (comtradeapi.un.org public preview API, annual HS data) rows retrieved 2026-09-24, reshaped to one line per record.
# Somalia (706) does not report; rows are partner (mirror) data: other countries' reported exports to Somalia and Gulf imports from Somalia and from the World.
# Filter: partner2Code 0, customsCode C00, motCode 0 (all customs regimes and transport modes). Values in current USD; net weight in kg.
# Format: Reporter (code) | Flow | Partner | HS code | Year | Trade value USD | Net weight kg | HS version
Bahrain (48) | Export | Somalia | HS 0402 | 2021 | 11318.112 | 10792.7 | H5
Djibouti (262) | Export | Somalia | HS 0402 | 2021 | 631235.448 | 142289.4 | H3
Egypt (818) | Export | Somalia | HS 0402 | 2021 | 23638.25 | 12349.243 | H4
Ethiopia (231) | Export | Somalia | HS 0402 | 2021 | 183954.97 | 944071.0 | H5
India (699) | Export | Somalia | HS 0402 | 2021 | 20593.286 | 5316.0 | H5
Malaysia (458) | Export | Somalia | HS 0402 | 2021 | 15883005.585 | 3794220.0 | H5
Netherlands (528) | Export | Somalia | HS 0402 | 2021 | 10811828.94 | 2361991.0 | H5
Oman (512) | Export | Somalia | HS 0402 | 2021 | 46782304.218 | 13674225.0 | H5
Oman (512) | Re-export | Somalia | HS 0402 | 2021 | 1162088.425 | 341992.0 | H5
Saudi Arabia (682) | Export | Somalia | HS 0402 | 2021 | 5551989.195 | 3222045.0 | H5
Saudi Arabia (682) | Re-export | Somalia | HS 0402 | 2021 | 982270.109 | 193533.0 | H5
Turkiye (792) | Export | Somalia | HS 0402 | 2021 | 210169.0 | 46594.0 | H5
Uganda (800) | Export | Somalia | HS 0402 | 2021 | 85431.77 | 18000.0 | H5
United Arab Emirates (784) | Export | Somalia | HS 0402 | 2021 | 85088395.495 | 28556345.5 | H5
United Arab Emirates (784) | Re-export | Somalia | HS 0402 | 2021 | 80851003.526 | 27242052.0 | H5
United Kingdom (826) | Export | Somalia | HS 0402 | 2021 | 1788.011 | 46.0 | H5
Bahrain (48) | Export | Somalia | HS 0402 | 2022 | 22004.734 | 22350.0 | H6
Djibouti (262) | Export | Somalia | HS 0402 | 2022 | 862007.046 | 213233.8 | H3
Egypt (818) | Export | Somalia | HS 0402 | 2022 | 30136.0 | 12963.918 | H6
Ethiopia (231) | Export | Somalia | HS 0402 | 2022 | 118832.366 | 888487.8 | H6
India (699) | Export | Somalia | HS 0402 | 2022 | 126.431 | 25.0 | H6
Italy (380) | Export | Somalia | HS 0402 | 2022 | 1359.486 | 58.0 | H6
Kenya (404) | Export | Somalia | HS 0402 | 2022 | 3972.321 | 876.8 | H6
Malaysia (458) | Export | Somalia | HS 0402 | 2022 | 15118787.873 | 3084580.0 | H6
Netherlands (528) | Export | Somalia | HS 0402 | 2022 | 12791759.753 | 2229170.0 | H6
Oman (512) | Export | Somalia | HS 0402 | 2022 | 57844257.387 | 14866924.0 | H6
Oman (512) | Re-export | Somalia | HS 0402 | 2022 | 715893.367 | 151783.0 | H6
Saudi Arabia (682) | Export | Somalia | HS 0402 | 2022 | 10350925.608 | 5658547.0 | H6
Saudi Arabia (682) | Re-export | Somalia | HS 0402 | 2022 | 2930534.327 | 528990.0 | H6
South Africa (710) | Export | Somalia | HS 0402 | 2022 | 14526.909 | 7305.0 | H6
Turkiye (792) | Export | Somalia | HS 0402 | 2022 | 200136.0 | 40191.0 | H6
United Arab Emirates (784) | Export | Somalia | HS 0402 | 2022 | 125576105.792 | 34502277.91 | H6
United Arab Emirates (784) | Re-export | Somalia | HS 0402 | 2022 | 120240575.815 | 33081386.0 | H6
United Kingdom (826) | Export | Somalia | HS 0402 | 2022 | 72555.273 | 6057.0 | H6
Bahrain (48) | Export | Somalia | HS 0402 | 2023 | 1115.239 | 532.902 | H6
Djibouti (262) | Export | Somalia | HS 0402 | 2023 | 1007191.833 | 207948.7 | H3
Egypt (818) | Export | Somalia | HS 0402 | 2023 | 35727.35 | 13666.176 | H6
Ethiopia (231) | Export | Somalia | HS 0402 | 2023 | 62727.731 | 762144.5 | H6
India (699) | Export | Somalia | HS 0402 | 2023 | 3976.937 | 806.0 | H6
Jordan (400) | Export | Somalia | HS 0402 | 2023 | 19772.113 | 6844.105 | H6
