=== PAGE 1 ===
# Sheet: Front page
UK Government GHG Conversion Factors for Company Reporting
Front page
 | Next publication date: | June 2027 | Factor set: | Flat file
 | Version: | 1.2 | Year: | 2026
 | UK Government GHG Conversion Factors for Company Reporting
 | Flat File Data Format
 | Status: | Final
 | Version: | 1.2
 | Updated: | 2026-07-10 00:00:00 | An error was identified whereby some factors for which no data were available were reported as 0 rather than left blank. This affected well-to-tank emissions factors for certain hybrid, CNG and LPG cars, and hotel stay factors for certain countries. These values have been corrected in this version.
 | Year: | 2026
 | Description: | 2026 update
 | Next publication date: | 2027-06-01 00:00:00
 | For technical queries, please contact Greenhouse Gas Statistics at GreenhouseGas.Statistics@energysecurity.gov.uk
 | NOTE: The scope of the factors is defined to be relevant to emissions reporting, although the factors may also be used for other purposes.  Regardless of this, their usage is at the users’ own risk.
=== PAGE 2 ===
# Sheet: Factors by Category
UK Government GHG Conversion Factors for Company Reporting
Factors by Category
Freeze panes are active on this sheet. To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F].
 |  | Category
ID | Scope | Level 1 | Level 2 | Level 3 | Level 4 | Column Text | UOM | GHG/Unit | GHG Conversion Factor 2026
1_100_1000_15_1 | Scope 1 | Fuels | Gaseous fuels | Butane |  |  | tonnes | kg CO2e | 3033.38067
1_100_1000_15_2 | Scope 1 | Fuels | Gaseous fuels | Butane |  |  | tonnes | kg CO2e of CO2 per unit | 3029.26
1_100_1000_15_3 | Scope 1 | Fuels | Gaseous fuels | Butane |  |  | tonnes | kg CO2e of CH4 per unit | 2.52
1_100_1000_15_4 | Scope 1 | Fuels | Gaseous fuels | Butane |  |  | tonnes | kg CO2e of N2O per unit | 1.60067
1_100_1000_8_1 | Scope 1 | Fuels | Gaseous fuels | Butane |  |  | litres | kg CO2e | 1.74533
1_100_1000_8_2 | Scope 1 | Fuels | Gaseous fuels | Butane |  |  | litres | kg CO2e of CO2 per unit | 1.74296
1_100_1000_8_3 | Scope 1 | Fuels | Gaseous fuels | Butane |  |  | litres | kg CO2e of CH4 per unit | 0.00144
1_100_1000_8_4 | Scope 1 | Fuels | Gaseous fuels | Butane |  |  | litres | kg CO2e of N2O per unit | 0.00092
1_100_1000_7_1 | Scope 1 | Fuels | Gaseous fuels | Butane |  |  | kWh (Net CV) | kg CO2e | 0.24107
1_100_1000_7_2 | Scope 1 | Fuels | Gaseous fuels | Butane |  |  | kWh (Net CV) | kg CO2e of CO2 per unit | 0.24074
1_100_1000_7_3 | Scope 1 | Fuels | Gaseous fuels | Butane |  |  | kWh (Net CV) | kg CO2e of CH4 per unit | 0.0002
1_100_1000_7_4 | Scope 1 | Fuels | Gaseous fuels | Butane |  |  | kWh (Net CV) | kg CO2e of N2O per unit | 0.00012
1_100_1000_6_1 | Scope 1 | Fuels | Gaseous fuels | Butane |  |  | kWh (Gross CV) | kg CO2e | 0.22241
1_100_1000_6_2 | Scope 1 | Fuels | Gaseous fuels | Butane |  |  | kWh (Gross CV) | kg CO2e of CO2 per unit | 0.2221
1_100_1000_6_3 | Scope 1 | Fuels | Gaseous fuels | Butane |  |  | kWh (Gross CV) | kg CO2e of CH4 per unit | 0.00019
1_100_1000_6_4 | Scope 1 | Fuels | Gaseous fuels | Butane |  |  | kWh (Gross CV) | kg CO2e of N2O per unit | 0.00012
1_100_1001_15_1 | Scope 1 | Fuels | Gaseous fuels | CNG |  |  | tonnes | kg CO2e | 2507.72441
1_100_1001_15_2 | Scope 1 | Fuels | Gaseous fuels | CNG |  |  | tonnes | kg CO2e of CO2 per unit | 2502.68
1_100_1001_15_3 | Scope 1 | Fuels | Gaseous fuels | CNG |  |  | tonnes | kg CO2e of CH4 per unit | 3.8528
1_100_1001_15_4 | Scope 1 | Fuels | Gaseous fuels | CNG |  |  | tonnes | kg CO2e of N2O per unit | 1.19161
1_100_1001_8_1 | Scope 1 | Fuels | Gaseous fuels | CNG |  |  | litres | kg CO2e | 0.43885
1_100_1001_8_2 | Scope 1 | Fuels | Gaseous fuels | CNG |  |  | litres | kg CO2e of CO2 per unit | 0.43797
1_100_1001_8_3 | Scope 1 | Fuels | Gaseous fuels | CNG |  |  | litres | kg CO2e of CH4 per unit | 0.00067
1_100_1001_8_4 | Scope 1 | Fuels | Gaseous fuels | CNG |  |  | litres | kg CO2e of N2O per unit | 0.0002
1_100_1001_7_1 | Scope 1 | Fuels | Gaseous fuels | CNG |  |  | kWh (Net CV) | kg CO2e | 0.20199
1_100_1001_7_2 | Scope 1 | Fuels | Gaseous fuels | CNG |  |  | kWh (Net CV) | kg CO2e of CO2 per unit | 0.20158
1_100_1001_7_3 | Scope 1 | Fuels | Gaseous fuels | CNG |  |  | kWh (Net CV) | kg CO2e of CH4 per unit | 0.00031
1_100_1001_7_4 | Scope 1 | Fuels | Gaseous fuels | CNG |  |  | kWh (Net CV) | kg CO2e of N2O per unit | 0.0001
1_100_1001_6_1 | Scope 1 | Fuels | Gaseous fuels | CNG |  |  | kWh (Gross CV) | kg CO2e | 0.18231
1_100_1001_6_2 | Scope 1 | Fuels | Gaseous fuels | CNG |  |  | kWh (Gross CV) | kg CO2e of CO2 per unit | 0.18194
1_100_1001_6_3 | Scope 1 | Fuels | Gaseous fuels | CNG |  |  | kWh (Gross CV) | kg CO2e of CH4 per unit | 0.00028
1_100_1001_6_4 | Scope 1 | Fuels | Gaseous fuels | CNG |  |  | kWh (Gross CV) | kg CO2e of N2O per unit | 9e-05
1_100_1002_15_1 | Scope 1 | Fuels | Gaseous fuels | LNG |  |  | tonnes | kg CO2e | 2536.85441
1_100_1002_15_2 | Scope 1 | Fuels | Gaseous fuels | LNG |  |  | tonnes | kg CO2e of CO2 per unit | 2531.81
1_100_1002_15_3 | Scope 1 | Fuels | Gaseous fuels | LNG |  |  | tonnes | kg CO2e of CH4 per unit | 3.8528
1_100_1002_15_4 | Scope 1 | Fuels | Gaseous fuels | LNG |  |  | tonnes | kg CO2e of N2O per unit | 1.19161
1_100_1002_8_1 | Scope 1 | Fuels | Gaseous fuels | LNG |  |  | litres | kg CO2e | 1.14791
1_100_1002_8_2 | Scope 1 | Fuels | Gaseous fuels | LNG |  |  | litres | kg CO2e of CO2 per unit | 1.14562
1_100_1002_8_3 | Scope 1 | Fuels | Gaseous fuels | LNG |  |  | litres | kg CO2e of CH4 per unit | 0.00175
1_100_1002_8_4 | Scope 1 | Fuels | Gaseous fuels | LNG |  |  | litres | kg CO2e of N2O per unit | 0.00054
1_100_1002_7_1 | Scope 1 | Fuels | Gaseous fuels | LNG |  |  | kWh (Net CV) | kg CO2e | 0.20434
1_100_1002_7_2 | Scope 1 | Fuels | Gaseous fuels | LNG |  |  | kWh (Net CV) | kg CO2e of CO2 per unit | 0.20393
1_100_1002_7_3 | Scope 1 | Fuels | Gaseous fuels | LNG |  |  | kWh (Net CV) | kg CO2e of CH4 per unit | 0.00031
1_100_1002_7_4 | Scope 1 | Fuels | Gaseous fuels | LNG |  |  | kWh (Net CV) | kg CO2e of N2O per unit | 0.0001
1_100_1002_6_1 | Scope 1 | Fuels | Gaseous fuels | LNG |  |  | kWh (Gross CV) | kg CO2e | 0.18442
1_100_1002_6_2 | Scope 1 | Fuels | Gaseous fuels | LNG |  |  | kWh (Gross CV) | kg CO2e of CO2 per unit | 0.18405
1_100_1002_6_3 | Scope 1 | Fuels | Gaseous fuels | LNG |  |  | kWh (Gross CV) | kg CO2e of CH4 per unit | 0.00028
1_100_1002_6_4 | Scope 1 | Fuels | Gaseous fuels | LNG |  |  | kWh (Gross CV) | kg CO2e of N2O per unit | 9e-05
1_100_1003_15_1 | Scope 1 | Fuels | Gaseous fuels | LPG |  |  | tonnes | kg CO2e | 2939.36095
1_100_1003_15_2 | Scope 1 | Fuels | Gaseous fuels | LPG |  |  | tonnes | kg CO2e of CO2 per unit | 2935.18
1_100_1003_15_3 | Scope 1 | Fuels | Gaseous fuels | LPG |  |  | tonnes | kg CO2e of CH4 per unit | 2.5536
1_100_1003_15_4 | Scope 1 | Fuels | Gaseous fuels | LPG |  |  | tonnes | kg CO2e of N2O per unit | 1.62735
1_100_1003_8_1 | Scope 1 | Fuels | Gaseous fuels | LPG |  |  | litres | kg CO2e | 1.55713
1_100_1003_8_2 | Scope 1 | Fuels | Gaseous fuels | LPG |  |  | litres | kg CO2e of CO2 per unit | 1.55491
1_100_1003_8_3 | Scope 1 | Fuels | Gaseous fuels | LPG |  |  | litres | kg CO2e of CH4 per unit | 0.00136
1_100_1003_8_4 | Scope 1 | Fuels | Gaseous fuels | LPG |  |  | litres | kg CO2e of N2O per unit | 0.00086
1_100_1003_7_1 | Scope 1 | Fuels | Gaseous fuels | LPG |  |  | kWh (Net CV) | kg CO2e | 0.23032
1_100_1003_7_2 | Scope 1 | Fuels | Gaseous fuels | LPG |  |  | kWh (Net CV) | kg CO2e of CO2 per unit | 0.22999
1_100_1003_7_3 | Scope 1 | Fuels | Gaseous fuels | LPG |  |  | kWh (Net CV) | kg CO2e of CH4 per unit | 0.0002
1_100_1003_7_4 | Scope 1 | Fuels | Gaseous fuels | LPG |  |  | kWh (Net CV) | kg CO2e of N2O per unit | 0.00012
1_100_1003_6_1 | Scope 1 | Fuels | Gaseous fuels | LPG |  |  | kWh (Gross CV) | kg CO2e | 0.2145
1_100_1003_6_2 | Scope 1 | Fuels | Gaseous fuels | LPG |  |  | kWh (Gross CV) | kg CO2e of CO2 per unit | 0.21419
1_100_1003_6_3 | Scope 1 | Fuels | Gaseous fuels | LPG |  |  | kWh (Gross CV) | kg CO2e of CH4 per unit | 0.00019
1_100_1003_6_4 | Scope 1 | Fuels | Gaseous fuels | LPG |  |  | kWh (Gross CV) | kg CO2e of N2O per unit | 0.00012
1_100_1004_15_1 | Scope 1 | Fuels | Gaseous fuels | Natural gas |  |  | tonnes | kg CO2e | 2507.72441
1_100_1004_15_2 | Scope 1 | Fuels | Gaseous fuels | Natural gas |  |  | tonnes | kg CO2e of CO2 per unit | 2502.68
1_100_1004_15_3 | Scope 1 | Fuels | Gaseous fuels | Natural gas |  |  | tonnes | kg CO2e of CH4 per unit | 3.8528
1_100_1004_15_4 | Scope 1 | Fuels | Gaseous fuels | Natural gas |  |  | tonnes | kg CO2e of N2O per unit | 1.19161
1_100_1004_1_1 | Scope 1 | Fuels | Gaseous fuels | Natural gas |  |  | cubic metres | kg CO2e | 2.02633
1_100_1004_1_2 | Scope 1 | Fuels | Gaseous fuels | Natural gas |  |  | cubic metres | kg CO2e of CO2 per unit | 2.02231
1_100_1004_1_3 | Scope 1 | Fuels | Gaseous fuels | Natural gas |  |  | cubic metres | kg CO2e of CH4 per unit | 0.00307
1_100_1004_1_4 | Scope 1 | Fuels | Gaseous fuels | Natural gas |  |  | cubic metres | kg CO2e of N2O per unit | 0.00095
1_100_1004_7_1 | Scope 1 | Fuels | Gaseous fuels | Natural gas |  |  | kWh (Net CV) | kg CO2e | 0.20199
1_100_1004_7_2 | Scope 1 | Fuels | Gaseous fuels | Natural gas |  |  | kWh (Net CV) | kg CO2e of CO2 per unit | 0.20158
1_100_1004_7_3 | Scope 1 | Fuels | Gaseous fuels | Natural gas |  |  | kWh (Net CV) | kg CO2e of CH4 per unit | 0.00031
1_100_1004_7_4 | Scope 1 | Fuels | Gaseous fuels | Natural gas |  |  | kWh (Net CV) | kg CO2e of N2O per unit | 0.0001
1_100_1004_6_1 | Scope 1 | Fuels | Gaseous fuels | Natural gas |  |  | kWh (Gross CV) | kg CO2e | 0.18231
1_100_1004_6_2 | Scope 1 | Fuels | Gaseous fuels | Natural gas |  |  | kWh (Gross CV) | kg CO2e of CO2 per unit | 0.18194
1_100_1004_6_3 | Scope 1 | Fuels | Gaseous fuels | Natural gas |  |  | kWh (Gross CV) | kg CO2e of CH4 per unit | 0.00028
1_100_1004_6_4 | Scope 1 | Fuels | Gaseous fuels | Natural gas |  |  | kWh (Gross CV) | kg CO2e of N2O per unit | 9e-05
1_100_1005_15_1 | Scope 1 | Fuels | Gaseous fuels | Natural gas (100% mineral blend) |  |  | tonnes | kg CO2e | 2536.85441
1_100_1005_15_2 | Scope 1 | Fuels | Gaseous fuels | Natural gas (100% mineral blend) |  |  | tonnes | kg CO2e of CO2 per unit | 2531.81
1_100_1005_15_3 | Scope 1 | Fuels | Gaseous fuels | Natural gas (100% mineral blend) |  |  | tonnes | kg CO2e of CH4 per unit | 3.8528
1_100_1005_15_4 | Scope 1 | Fuels | Gaseous fuels | Natural gas (100% mineral blend) |  |  | tonnes | kg CO2e of N2O per unit | 1.19161
1_100_1005_1_1 | Scope 1 | Fuels | Gaseous fuels | Natural gas (100% mineral blend) |  |  | cubic metres | kg CO2e | 2.04987
1_100_1005_1_2 | Scope 1 | Fuels | Gaseous fuels | Natural gas (100% mineral blend) |  |  | cubic metres | kg CO2e of CO2 per unit | 2.04585
1_100_1005_1_3 | Scope 1 | Fuels | Gaseous fuels | Natural gas (100% mineral blend) |  |  | cubic metres | kg CO2e of CH4 per unit | 0.00307
1_100_1005_1_4 | Scope 1 | Fuels | Gaseous fuels | Natural gas (100% mineral blend) |  |  | cubic metres | kg CO2e of N2O per unit | 0.00095
1_100_1005_7_1 | Scope 1 | Fuels | Gaseous fuels | Natural gas (100% mineral blend) |  |  | kWh (Net CV) | kg CO2e | 0.20434
1_100_1005_7_2 | Scope 1 | Fuels | Gaseous fuels | Natural gas (100% mineral blend) |  |  | kWh (Net CV) | kg CO2e of CO2 per unit | 0.20393
1_100_1005_7_3 | Scope 1 | Fuels | Gaseous fuels | Natural gas (100% mineral blend) |  |  | kWh (Net CV) | kg CO2e of CH4 per unit | 0.00031
1_100_1005_7_4 | Scope 1 | Fuels | Gaseous fuels | Natural gas (100% mineral blend) |  |  | kWh (Net CV) | kg CO2e of N2O per unit | 0.0001
1_100_1005_6_1 | Scope 1 | Fuels | Gaseous fuels | Natural gas (100% mineral blend) |  |  | kWh (Gross CV) | kg CO2e | 0.18442
1_100_1005_6_2 | Scope 1 | Fuels | Gaseous fuels | Natural gas (100% mineral blend) |  |  | kWh (Gross CV) | kg CO2e of CO2 per unit | 0.18405
1_100_1005_6_3 | Scope 1 | Fuels | Gaseous fuels | Natural gas (100% mineral blend) |  |  | kWh (Gross CV) | kg CO2e of CH4 per unit | 0.00028
1_100_1005_6_4 | Scope 1 | Fuels | Gaseous fuels | Natural gas (100% mineral blend) |  |  | kWh (Gross CV) | kg CO2e of N2O per unit | 9e-05
1_100_1006_15_1 | Scope 1 | Fuels | Gaseous fuels | Other petroleum gas |  |  | tonnes | kg CO2e | 2578.24647
1_100_1006_15_2 | Scope 1 | Fuels | Gaseous fuels | Other petroleum gas |  |  | tonnes | kg CO2e of CO2 per unit | 2575.7
1_100_1006_15_3 | Scope 1 | Fuels | Gaseous fuels | Other petroleum gas |  |  | tonnes | kg CO2e of CH4 per unit | 1.3104
1_100_1006_15_4 | Scope 1 | Fuels | Gaseous fuels | Other petroleum gas |  |  | tonnes | kg CO2e of N2O per unit | 1.23607
1_100_1006_8_1 | Scope 1 | Fuels | Gaseous fuels | Other petroleum gas |  |  | litres | kg CO2e | 0.94442
1_100_1006_8_2 | Scope 1 | Fuels | Gaseous fuels | Other petroleum gas |  |  | litres | kg CO2e of CO2 per unit | 0.94348
1_100_1006_8_3 | Scope 1 | Fuels | Gaseous fuels | Other petroleum gas |  |  | litres | kg CO2e of CH4 per unit | 0.00048
1_100_1006_8_4 | Scope 1 | Fuels | Gaseous fuels | Other petroleum gas |  |  | litres | kg CO2e of N2O per unit | 0.00045
1_100_1006_7_1 | Scope 1 | Fuels | Gaseous fuels | Other petroleum gas |  |  | kWh (Net CV) | kg CO2e | 0.19917
1_100_1006_7_2 | Scope 1 | Fuels | Gaseous fuels | Other petroleum gas |  |  | kWh (Net CV) | kg CO2e of CO2 per unit | 0.19897
