=== PAGE 1 ===
# Kenya 2019 SAM: every non-empty cell of the matrix, one line per cell, reshaped from the stored CSV. Units: billions of Kenyan shillings.
# Payments run from the column account to the row account (for an activity column: purchases of commodities, factor payments, taxes; the Total row is gross output).
# Format: SAM | row account (code) | column account (code) | value
Kenya 2019 SAM | Activities - Maize (amaiz) | Commodities - Maize (cmaiz) | 632
Kenya 2019 SAM | Activities - Maize (amaiz) | Households - Rural (quintile 1) (hhd-r1) | 10
Kenya 2019 SAM | Activities - Maize (amaiz) | Households - Rural (quintile 2) (hhd-r2) | 16
Kenya 2019 SAM | Activities - Maize (amaiz) | Households - Rural (quintile 3) (hhd-r3) | 19
Kenya 2019 SAM | Activities - Maize (amaiz) | Households - Rural (quintile 4) (hhd-r4) | 18
Kenya 2019 SAM | Activities - Maize (amaiz) | Households - Rural (quintile 5) (hhd-r5) | 10
Kenya 2019 SAM | Activities - Maize (amaiz) | Households - Urban (quintile 1) (hhd-u1) | 1
Kenya 2019 SAM | Activities - Maize (amaiz) | Households - Urban (quintile 2) (hhd-u2) | 2
Kenya 2019 SAM | Activities - Maize (amaiz) | Households - Urban (quintile 3) (hhd-u3) | 3
Kenya 2019 SAM | Activities - Maize (amaiz) | Households - Urban (quintile 4) (hhd-u4) | 3
Kenya 2019 SAM | Activities - Maize (amaiz) | Households - Urban (quintile 5) (hhd-u5) | 4
Kenya 2019 SAM | Activities - Maize (amaiz) | Total (total) | 718
Kenya 2019 SAM | Activities - Rice (arice) | Commodities - Rice (crice) | 37
Kenya 2019 SAM | Activities - Rice (arice) | Total (total) | 37
Kenya 2019 SAM | Activities - Other cereals (aocer) | Commodities - Other cereals (cocer) | 173
Kenya 2019 SAM | Activities - Other cereals (aocer) | Households - Rural (quintile 1) (hhd-r1) | 2
Kenya 2019 SAM | Activities - Other cereals (aocer) | Households - Rural (quintile 2) (hhd-r2) | 4
Kenya 2019 SAM | Activities - Other cereals (aocer) | Households - Rural (quintile 3) (hhd-r3) | 2
Kenya 2019 SAM | Activities - Other cereals (aocer) | Households - Rural (quintile 4) (hhd-r4) | 3
Kenya 2019 SAM | Activities - Other cereals (aocer) | Households - Rural (quintile 5) (hhd-r5) | 2
Kenya 2019 SAM | Activities - Other cereals (aocer) | Households - Urban (quintile 5) (hhd-u5) | 4
Kenya 2019 SAM | Activities - Other cereals (aocer) | Total (total) | 190
Kenya 2019 SAM | Activities - Pulses (apuls) | Commodities - Pulses (cpuls) | 430
Kenya 2019 SAM | Activities - Pulses (apuls) | Households - Rural (quintile 1) (hhd-r1) | 17
Kenya 2019 SAM | Activities - Pulses (apuls) | Households - Rural (quintile 2) (hhd-r2) | 29
Kenya 2019 SAM | Activities - Pulses (apuls) | Households - Rural (quintile 3) (hhd-r3) | 37
Kenya 2019 SAM | Activities - Pulses (apuls) | Households - Rural (quintile 4) (hhd-r4) | 36
Kenya 2019 SAM | Activities - Pulses (apuls) | Households - Rural (quintile 5) (hhd-r5) | 20
Kenya 2019 SAM | Activities - Pulses (apuls) | Households - Urban (quintile 1) (hhd-u1) | 2
Kenya 2019 SAM | Activities - Pulses (apuls) | Households - Urban (quintile 2) (hhd-u2) | 3
Kenya 2019 SAM | Activities - Pulses (apuls) | Households - Urban (quintile 3) (hhd-u3) | 5
Kenya 2019 SAM | Activities - Pulses (apuls) | Households - Urban (quintile 4) (hhd-u4) | 5
Kenya 2019 SAM | Activities - Pulses (apuls) | Households - Urban (quintile 5) (hhd-u5) | 6
Kenya 2019 SAM | Activities - Pulses (apuls) | Total (total) | 589
Kenya 2019 SAM | Activities - Oilseeds (aoils) | Commodities - Oilseeds (coils) | 52
Kenya 2019 SAM | Activities - Oilseeds (aoils) | Households - Rural (quintile 2) (hhd-r2) | 1
Kenya 2019 SAM | Activities - Oilseeds (aoils) | Households - Rural (quintile 3) (hhd-r3) | 1
Kenya 2019 SAM | Activities - Oilseeds (aoils) | Households - Rural (quintile 4) (hhd-r4) | 2
Kenya 2019 SAM | Activities - Oilseeds (aoils) | Households - Rural (quintile 5) (hhd-r5) | 1
Kenya 2019 SAM | Activities - Oilseeds (aoils) | Total (total) | 57
Kenya 2019 SAM | Activities - Roots (aroot) | Commodities - Roots (croot) | 215
Kenya 2019 SAM | Activities - Roots (aroot) | Households - Rural (quintile 1) (hhd-r1) | 6
Kenya 2019 SAM | Activities - Roots (aroot) | Households - Rural (quintile 2) (hhd-r2) | 8
Kenya 2019 SAM | Activities - Roots (aroot) | Households - Rural (quintile 3) (hhd-r3) | 12
Kenya 2019 SAM | Activities - Roots (aroot) | Households - Rural (quintile 4) (hhd-r4) | 11
Kenya 2019 SAM | Activities - Roots (aroot) | Households - Rural (quintile 5) (hhd-r5) | 7
Kenya 2019 SAM | Activities - Roots (aroot) | Households - Urban (quintile 2) (hhd-u2) | 1
Kenya 2019 SAM | Activities - Roots (aroot) | Households - Urban (quintile 3) (hhd-u3) | 1
Kenya 2019 SAM | Activities - Roots (aroot) | Households - Urban (quintile 4) (hhd-u4) | 2
Kenya 2019 SAM | Activities - Roots (aroot) | Households - Urban (quintile 5) (hhd-u5) | 2
Kenya 2019 SAM | Activities - Roots (aroot) | Total (total) | 264
Kenya 2019 SAM | Activities - Vegetables (avege) | Commodities - Vegetables (cvege) | 470
Kenya 2019 SAM | Activities - Vegetables (avege) | Households - Rural (quintile 1) (hhd-r1) | 12
Kenya 2019 SAM | Activities - Vegetables (avege) | Households - Rural (quintile 2) (hhd-r2) | 18
Kenya 2019 SAM | Activities - Vegetables (avege) | Households - Rural (quintile 3) (hhd-r3) | 21
Kenya 2019 SAM | Activities - Vegetables (avege) | Households - Rural (quintile 4) (hhd-r4) | 19
Kenya 2019 SAM | Activities - Vegetables (avege) | Households - Rural (quintile 5) (hhd-r5) | 12
Kenya 2019 SAM | Activities - Vegetables (avege) | Households - Urban (quintile 1) (hhd-u1) | 1
Kenya 2019 SAM | Activities - Vegetables (avege) | Households - Urban (quintile 2) (hhd-u2) | 2
Kenya 2019 SAM | Activities - Vegetables (avege) | Households - Urban (quintile 3) (hhd-u3) | 3
Kenya 2019 SAM | Activities - Vegetables (avege) | Households - Urban (quintile 4) (hhd-u4) | 3
Kenya 2019 SAM | Activities - Vegetables (avege) | Households - Urban (quintile 5) (hhd-u5) | 6
Kenya 2019 SAM | Activities - Vegetables (avege) | Total (total) | 568
Kenya 2019 SAM | Activities - Sugarcane (asugr) | Commodities - Sugarcane (csugr) | 73
Kenya 2019 SAM | Activities - Sugarcane (asugr) | Households - Rural (quintile 1) (hhd-r1) | 2
Kenya 2019 SAM | Activities - Sugarcane (asugr) | Households - Rural (quintile 2) (hhd-r2) | 3
Kenya 2019 SAM | Activities - Sugarcane (asugr) | Households - Rural (quintile 3) (hhd-r3) | 4
Kenya 2019 SAM | Activities - Sugarcane (asugr) | Households - Rural (quintile 4) (hhd-r4) | 3
Kenya 2019 SAM | Activities - Sugarcane (asugr) | Households - Rural (quintile 5) (hhd-r5) | 2
Kenya 2019 SAM | Activities - Sugarcane (asugr) | Households - Urban (quintile 3) (hhd-u3) | 1
Kenya 2019 SAM | Activities - Sugarcane (asugr) | Households - Urban (quintile 5) (hhd-u5) | 1
Kenya 2019 SAM | Activities - Sugarcane (asugr) | Total (total) | 89
Kenya 2019 SAM | Activities - Tobacco (atoba) | Commodities - Tobacco (ctoba) | 9
Kenya 2019 SAM | Activities - Tobacco (atoba) | Total (total) | 10
Kenya 2019 SAM | Activities - Cotton and fibres (acott) | Commodities - Cotton and fibres (ccott) | 23
Kenya 2019 SAM | Activities - Cotton and fibres (acott) | Total (total) | 23
Kenya 2019 SAM | Activities - Fruits and nuts (afrui) | Commodities - Fruits and nuts (cfrui) | 362
Kenya 2019 SAM | Activities - Fruits and nuts (afrui) | Households - Rural (quintile 1) (hhd-r1) | 7
Kenya 2019 SAM | Activities - Fruits and nuts (afrui) | Households - Rural (quintile 2) (hhd-r2) | 16
Kenya 2019 SAM | Activities - Fruits and nuts (afrui) | Households - Rural (quintile 3) (hhd-r3) | 24
Kenya 2019 SAM | Activities - Fruits and nuts (afrui) | Households - Rural (quintile 4) (hhd-r4) | 23
Kenya 2019 SAM | Activities - Fruits and nuts (afrui) | Households - Rural (quintile 5) (hhd-r5) | 16
Kenya 2019 SAM | Activities - Fruits and nuts (afrui) | Households - Urban (quintile 1) (hhd-u1) | 1
Kenya 2019 SAM | Activities - Fruits and nuts (afrui) | Households - Urban (quintile 2) (hhd-u2) | 2
Kenya 2019 SAM | Activities - Fruits and nuts (afrui) | Households - Urban (quintile 3) (hhd-u3) | 3
Kenya 2019 SAM | Activities - Fruits and nuts (afrui) | Households - Urban (quintile 4) (hhd-u4) | 4
Kenya 2019 SAM | Activities - Fruits and nuts (afrui) | Households - Urban (quintile 5) (hhd-u5) | 6
Kenya 2019 SAM | Activities - Fruits and nuts (afrui) | Total (total) | 462
Kenya 2019 SAM | Activities - Coffee, tea and cocoa (acoff) | Commodities - Coffee, tea and cocoa (ccoff) | 250
Kenya 2019 SAM | Activities - Coffee, tea and cocoa (acoff) | Total (total) | 250
Kenya 2019 SAM | Activities - Other crops (aocrp) | Commodities - Other crops (cocrp) | 99
Kenya 2019 SAM | Activities - Other crops (aocrp) | Total (total) | 99
Kenya 2019 SAM | Activities - Cattle and raw milk (acatt) | Commodities - Cattle and raw milk (ccatt) | 726
Kenya 2019 SAM | Activities - Cattle and raw milk (acatt) | Households - Rural (quintile 1) (hhd-r1) | 10
Kenya 2019 SAM | Activities - Cattle and raw milk (acatt) | Households - Rural (quintile 2) (hhd-r2) | 12
Kenya 2019 SAM | Activities - Cattle and raw milk (acatt) | Households - Rural (quintile 3) (hhd-r3) | 14
Kenya 2019 SAM | Activities - Cattle and raw milk (acatt) | Households - Rural (quintile 4) (hhd-r4) | 15
Kenya 2019 SAM | Activities - Cattle and raw milk (acatt) | Households - Rural (quintile 5) (hhd-r5) | 11
Kenya 2019 SAM | Activities - Cattle and raw milk (acatt) | Households - Urban (quintile 2) (hhd-u2) | 1
Kenya 2019 SAM | Activities - Cattle and raw milk (acatt) | Households - Urban (quintile 3) (hhd-u3) | 2
Kenya 2019 SAM | Activities - Cattle and raw milk (acatt) | Households - Urban (quintile 4) (hhd-u4) | 2
Kenya 2019 SAM | Activities - Cattle and raw milk (acatt) | Households - Urban (quintile 5) (hhd-u5) | 3
Kenya 2019 SAM | Activities - Cattle and raw milk (acatt) | Total (total) | 796
Kenya 2019 SAM | Activities - Poultry and eggs (apoul) | Commodities - Poultry and eggs (cpoul) | 105
Kenya 2019 SAM | Activities - Poultry and eggs (apoul) | Households - Rural (quintile 1) (hhd-r1) | 2
Kenya 2019 SAM | Activities - Poultry and eggs (apoul) | Households - Rural (quintile 2) (hhd-r2) | 5
Kenya 2019 SAM | Activities - Poultry and eggs (apoul) | Households - Rural (quintile 3) (hhd-r3) | 9
Kenya 2019 SAM | Activities - Poultry and eggs (apoul) | Households - Rural (quintile 4) (hhd-r4) | 12
Kenya 2019 SAM | Activities - Poultry and eggs (apoul) | Households - Rural (quintile 5) (hhd-r5) | 9
Kenya 2019 SAM | Activities - Poultry and eggs (apoul) | Households - Urban (quintile 2) (hhd-u2) | 1
Kenya 2019 SAM | Activities - Poultry and eggs (apoul) | Households - Urban (quintile 3) (hhd-u3) | 1
Kenya 2019 SAM | Activities - Poultry and eggs (apoul) | Households - Urban (quintile 4) (hhd-u4) | 2
Kenya 2019 SAM | Activities - Poultry and eggs (apoul) | Households - Urban (quintile 5) (hhd-u5) | 4
Kenya 2019 SAM | Activities - Poultry and eggs (apoul) | Total (total) | 150
Kenya 2019 SAM | Activities - Other livestock (aoliv) | Commodities - Other livestock (coliv) | 200
Kenya 2019 SAM | Activities - Other livestock (aoliv) | Households - Rural (quintile 2) (hhd-r2) | 1
Kenya 2019 SAM | Activities - Other livestock (aoliv) | Households - Rural (quintile 3) (hhd-r3) | 1
Kenya 2019 SAM | Activities - Other livestock (aoliv) | Households - Rural (quintile 4) (hhd-r4) | 3
Kenya 2019 SAM | Activities - Other livestock (aoliv) | Households - Rural (quintile 5) (hhd-r5) | 6
Kenya 2019 SAM | Activities - Other livestock (aoliv) | Households - Urban (quintile 5) (hhd-u5) | 2
Kenya 2019 SAM | Activities - Other livestock (aoliv) | Total (total) | 213
Kenya 2019 SAM | Activities - Forestry (afore) | Commodities - Forestry (cfore) | 148
Kenya 2019 SAM | Activities - Forestry (afore) | Total (total) | 148
Kenya 2019 SAM | Activities - Fisheries (afish) | Commodities - Fisheries (cfish) | 105
Kenya 2019 SAM | Activities - Fisheries (afish) | Total (total) | 107
Kenya 2019 SAM | Activities - Mining (amine) | Commodities - Mining (cmine) | 118
Kenya 2019 SAM | Activities - Mining (amine) | Total (total) | 118
Kenya 2019 SAM | Activities - Processed foods (afood) | Commodities - Processed foods (cfood) | 1292
Kenya 2019 SAM | Activities - Processed foods (afood) | Total (total) | 1292
Kenya 2019 SAM | Activities - Beverage and tobacco (abeve) | Commodities - Beverage and tobacco (cbeve) | 286
Kenya 2019 SAM | Activities - Beverage and tobacco (abeve) | Total (total) | 286
Kenya 2019 SAM | Activities - Textiles, clothing and footwear (atext) | Commodities - Textiles, clothing and footwear (ctext) | 263
Kenya 2019 SAM | Activities - Textiles, clothing and footwear (atext) | Total (total) | 263
Kenya 2019 SAM | Activities - Wood and paper products (awood) | Commodities - Wood and paper products (cwood) | 127
Kenya 2019 SAM | Activities - Wood and paper products (awood) | Total (total) | 127
Kenya 2019 SAM | Activities - Chemicals and petroleum (achem) | Commodities - Chemicals and petroleum (cchem) | 227
Kenya 2019 SAM | Activities - Chemicals and petroleum (achem) | Total (total) | 227
Kenya 2019 SAM | Activities - Non-metal minerals (anmet) | Commodities - Non-metal minerals (cnmet) | 106
Kenya 2019 SAM | Activities - Non-metal minerals (anmet) | Total (total) | 106
Kenya 2019 SAM | Activities - Metals and metal products (ametl) | Commodities - Metals and metal products (cmetl) | 187
Kenya 2019 SAM | Activities - Metals and metal products (ametl) | Total (total) | 187
Kenya 2019 SAM | Activities - Machinery, equipment and vehicles (amach) | Commodities - Machinery, equipment and vehicles (cmach) | 97
Kenya 2019 SAM | Activities - Machinery, equipment and vehicles (amach) | Total (total) | 97
Kenya 2019 SAM | Activities - Other manufacturing (aoman) | Commodities - Other manufacturing (coman) | 331
Kenya 2019 SAM | Activities - Other manufacturing (aoman) | Total (total) | 331
Kenya 2019 SAM | Activities - Electricity, gas and steam (aelec) | Commodities - Electricity, gas and steam (celec) | 239
Kenya 2019 SAM | Activities - Electricity, gas and steam (aelec) | Total (total) | 239
Kenya 2019 SAM | Activities - Water supply and sewage (awatr) | Commodities - Water supply and sewage (cwatr) | 59
Kenya 2019 SAM | Activities - Water supply and sewage (awatr) | Total (total) | 59
Kenya 2019 SAM | Activities - Construction (acons) | Commodities - Construction (ccons) | 1295
Kenya 2019 SAM | Activities - Construction (acons) | Total (total) | 1295
Kenya 2019 SAM | Activities - Wholesale and retail trade (atrad) | Commodities - Wholesale and retail trade (ctrad) | 1283
Kenya 2019 SAM | Activities - Wholesale and retail trade (atrad) | Total (total) | 1283
Kenya 2019 SAM | Activities - Transportation and storage (atran) | Commodities - Transportation and storage (ctran) | 1368
Kenya 2019 SAM | Activities - Transportation and storage (atran) | Total (total) | 1368
Kenya 2019 SAM | Activities - Accommodation and food services (ahotl) | Commodities - Accommodation and food services (chotl) | 352
Kenya 2019 SAM | Activities - Accommodation and food services (ahotl) | Total (total) | 352
Kenya 2019 SAM | Activities - Information and communication (acomm) | Commodities - Information and communication (ccomm) | 181
Kenya 2019 SAM | Activities - Information and communication (acomm) | Total (total) | 181
Kenya 2019 SAM | Activities - Finance and insurance (afsrv) | Commodities - Finance and insurance (cfsrv) | 470
Kenya 2019 SAM | Activities - Finance and insurance (afsrv) | Total (total) | 470
Kenya 2019 SAM | Activities - Real estate activities (areal) | Commodities - Real estate activities (creal) | 768
Kenya 2019 SAM | Activities - Real estate activities (areal) | Total (total) | 768
Kenya 2019 SAM | Activities - Business services (absrv) | Commodities - Business services (cbsrv) | 453
Kenya 2019 SAM | Activities - Business services (absrv) | Total (total) | 453
Kenya 2019 SAM | Activities - Public administration (apadm) | Commodities - Public administration (cpadm) | 635
Kenya 2019 SAM | Activities - Public administration (apadm) | Total (total) | 635
Kenya 2019 SAM | Activities - Education (aeduc) | Commodities - Education (ceduc) | 743
Kenya 2019 SAM | Activities - Education (aeduc) | Total (total) | 743
Kenya 2019 SAM | Activities - Health and social work (aheal) | Commodities - Health and social work (cheal) | 270
Kenya 2019 SAM | Activities - Health and social work (aheal) | Total (total) | 270
Kenya 2019 SAM | Activities - Other services (aosrv) | Commodities - Other services (cosrv) | 177
Kenya 2019 SAM | Activities - Other services (aosrv) | Total (total) | 177
Kenya 2019 SAM | Commodities - Maize (cmaiz) | Activities - Maize (amaiz) | 15
Kenya 2019 SAM | Commodities - Maize (cmaiz) | Activities - Cattle and raw milk (acatt) | 172
Kenya 2019 SAM | Commodities - Maize (cmaiz) | Activities - Poultry and eggs (apoul) | 16
Kenya 2019 SAM | Commodities - Maize (cmaiz) | Activities - Other livestock (aoliv) | 20
Kenya 2019 SAM | Commodities - Maize (cmaiz) | Activities - Processed foods (afood) | 322
Kenya 2019 SAM | Commodities - Maize (cmaiz) | Activities - Accommodation and food services (ahotl) | 1
Kenya 2019 SAM | Commodities - Maize (cmaiz) | Households - Rural (quintile 1) (hhd-r1) | 35
Kenya 2019 SAM | Commodities - Maize (cmaiz) | Households - Rural (quintile 2) (hhd-r2) | 31
