=== PAGE 1 ===
# Ethiopia 2022 SAM: every non-empty cell of the matrix, one line per cell, reshaped from the stored CSV. Units: billions of Ethiopian birr.
# Payments run from the column account to the row account (for an activity column: purchases of commodities, factor payments, taxes; the Total row is gross output).
# Format: SAM | row account (code) | column account (code) | value
Ethiopia 2022 SAM | Activities - Maize (amaiz) | Commodities - Maize (cmaiz) | 190.3528137
Ethiopia 2022 SAM | Activities - Maize (amaiz) | Households - Rural (quintile 1) (hhd-r1) | 45.09593148
Ethiopia 2022 SAM | Activities - Maize (amaiz) | Households - Rural (quintile 2) (hhd-r2) | 32.33539076
Ethiopia 2022 SAM | Activities - Maize (amaiz) | Households - Rural (quintile 3) (hhd-r3) | 53.06551264
Ethiopia 2022 SAM | Activities - Maize (amaiz) | Households - Rural (quintile 4) (hhd-r4) | 32.56449434
Ethiopia 2022 SAM | Activities - Maize (amaiz) | Households - Rural (quintile 5) (hhd-r5) | 24.70652125
Ethiopia 2022 SAM | Activities - Maize (amaiz) | Households - Urban (quintile 1) (hhd-u1) | 0.279957212
Ethiopia 2022 SAM | Activities - Maize (amaiz) | Households - Urban (quintile 2) (hhd-u2) | 0.358480516
Ethiopia 2022 SAM | Activities - Maize (amaiz) | Households - Urban (quintile 3) (hhd-u3) | 0.261488238
Ethiopia 2022 SAM | Activities - Maize (amaiz) | Households - Urban (quintile 4) (hhd-u4) | 0.763867212
Ethiopia 2022 SAM | Activities - Maize (amaiz) | Households - Urban (quintile 5) (hhd-u5) | 1.620626968
Ethiopia 2022 SAM | Activities - Maize (amaiz) | Total (total) | 381.4050844
Ethiopia 2022 SAM | Activities - Rice (arice) | Commodities - Rice (crice) | 13.22263769
Ethiopia 2022 SAM | Activities - Rice (arice) | Households - Rural (quintile 1) (hhd-r1) | 0.008687014
Ethiopia 2022 SAM | Activities - Rice (arice) | Households - Rural (quintile 2) (hhd-r2) | 0.019577873
Ethiopia 2022 SAM | Activities - Rice (arice) | Households - Rural (quintile 3) (hhd-r3) | 0.086619095
Ethiopia 2022 SAM | Activities - Rice (arice) | Households - Rural (quintile 4) (hhd-r4) | 0.084559605
Ethiopia 2022 SAM | Activities - Rice (arice) | Households - Rural (quintile 5) (hhd-r5) | 0.126260885
Ethiopia 2022 SAM | Activities - Rice (arice) | Households - Urban (quintile 1) (hhd-u1) | 0.014687141
Ethiopia 2022 SAM | Activities - Rice (arice) | Households - Urban (quintile 2) (hhd-u2) | 0.013402523
Ethiopia 2022 SAM | Activities - Rice (arice) | Households - Urban (quintile 3) (hhd-u3) | 0.020279833
Ethiopia 2022 SAM | Activities - Rice (arice) | Households - Urban (quintile 4) (hhd-u4) | 0.020511263
Ethiopia 2022 SAM | Activities - Rice (arice) | Households - Urban (quintile 5) (hhd-u5) | 0.034513042
Ethiopia 2022 SAM | Activities - Rice (arice) | Total (total) | 13.65173596
Ethiopia 2022 SAM | Activities - Other cereals (aocer) | Commodities - Other cereals (cocer) | 586.6343837
Ethiopia 2022 SAM | Activities - Other cereals (aocer) | Households - Rural (quintile 1) (hhd-r1) | 11.81925652
Ethiopia 2022 SAM | Activities - Other cereals (aocer) | Households - Rural (quintile 2) (hhd-r2) | 5.105505584
Ethiopia 2022 SAM | Activities - Other cereals (aocer) | Households - Rural (quintile 3) (hhd-r3) | 11.50692087
Ethiopia 2022 SAM | Activities - Other cereals (aocer) | Households - Rural (quintile 4) (hhd-r4) | 11.72394806
Ethiopia 2022 SAM | Activities - Other cereals (aocer) | Households - Rural (quintile 5) (hhd-r5) | 13.37246627
Ethiopia 2022 SAM | Activities - Other cereals (aocer) | Households - Urban (quintile 1) (hhd-u1) | 0.433182412
Ethiopia 2022 SAM | Activities - Other cereals (aocer) | Households - Urban (quintile 2) (hhd-u2) | 0.659508266
Ethiopia 2022 SAM | Activities - Other cereals (aocer) | Households - Urban (quintile 3) (hhd-u3) | 0.239211589
Ethiopia 2022 SAM | Activities - Other cereals (aocer) | Households - Urban (quintile 4) (hhd-u4) | 2.427398189
Ethiopia 2022 SAM | Activities - Other cereals (aocer) | Households - Urban (quintile 5) (hhd-u5) | 3.156287986
Ethiopia 2022 SAM | Activities - Other cereals (aocer) | Total (total) | 647.0780694
Ethiopia 2022 SAM | Activities - Pulses (apuls) | Commodities - Pulses (cpuls) | 224.1235224
Ethiopia 2022 SAM | Activities - Pulses (apuls) | Households - Rural (quintile 1) (hhd-r1) | 13.86007814
Ethiopia 2022 SAM | Activities - Pulses (apuls) | Households - Rural (quintile 2) (hhd-r2) | 18.85800085
Ethiopia 2022 SAM | Activities - Pulses (apuls) | Households - Rural (quintile 3) (hhd-r3) | 20.92299633
Ethiopia 2022 SAM | Activities - Pulses (apuls) | Households - Rural (quintile 4) (hhd-r4) | 27.23833278
Ethiopia 2022 SAM | Activities - Pulses (apuls) | Households - Rural (quintile 5) (hhd-r5) | 22.00345736
Ethiopia 2022 SAM | Activities - Pulses (apuls) | Households - Urban (quintile 1) (hhd-u1) | 0.189914157
Ethiopia 2022 SAM | Activities - Pulses (apuls) | Households - Urban (quintile 2) (hhd-u2) | 0.485604532
Ethiopia 2022 SAM | Activities - Pulses (apuls) | Households - Urban (quintile 3) (hhd-u3) | 0.434910609
Ethiopia 2022 SAM | Activities - Pulses (apuls) | Households - Urban (quintile 4) (hhd-u4) | 0.798777735
Ethiopia 2022 SAM | Activities - Pulses (apuls) | Households - Urban (quintile 5) (hhd-u5) | 1.760720064
Ethiopia 2022 SAM | Activities - Pulses (apuls) | Total (total) | 330.676315
Ethiopia 2022 SAM | Activities - Oilseeds (aoils) | Commodities - Oilseeds (coils) | 67.19007145
Ethiopia 2022 SAM | Activities - Oilseeds (aoils) | Households - Rural (quintile 1) (hhd-r1) | 1.515546474
Ethiopia 2022 SAM | Activities - Oilseeds (aoils) | Households - Rural (quintile 2) (hhd-r2) | 4.54297162
Ethiopia 2022 SAM | Activities - Oilseeds (aoils) | Households - Rural (quintile 3) (hhd-r3) | 4.429734788
Ethiopia 2022 SAM | Activities - Oilseeds (aoils) | Households - Rural (quintile 4) (hhd-r4) | 3.099461294
Ethiopia 2022 SAM | Activities - Oilseeds (aoils) | Households - Rural (quintile 5) (hhd-r5) | 4.104531917
Ethiopia 2022 SAM | Activities - Oilseeds (aoils) | Households - Urban (quintile 1) (hhd-u1) | 0.024600228
Ethiopia 2022 SAM | Activities - Oilseeds (aoils) | Households - Urban (quintile 2) (hhd-u2) | 0.061253843
Ethiopia 2022 SAM | Activities - Oilseeds (aoils) | Households - Urban (quintile 3) (hhd-u3) | 0.010453423
Ethiopia 2022 SAM | Activities - Oilseeds (aoils) | Households - Urban (quintile 4) (hhd-u4) | 0.068044228
Ethiopia 2022 SAM | Activities - Oilseeds (aoils) | Households - Urban (quintile 5) (hhd-u5) | 0.204072992
Ethiopia 2022 SAM | Activities - Oilseeds (aoils) | Total (total) | 85.25074226
Ethiopia 2022 SAM | Activities - Roots (aroot) | Commodities - Roots (croot) | 49.04134789
Ethiopia 2022 SAM | Activities - Roots (aroot) | Households - Rural (quintile 1) (hhd-r1) | 23.68060207
Ethiopia 2022 SAM | Activities - Roots (aroot) | Households - Rural (quintile 2) (hhd-r2) | 17.38486361
Ethiopia 2022 SAM | Activities - Roots (aroot) | Households - Rural (quintile 3) (hhd-r3) | 36.99971226
Ethiopia 2022 SAM | Activities - Roots (aroot) | Households - Rural (quintile 4) (hhd-r4) | 30.34398986
Ethiopia 2022 SAM | Activities - Roots (aroot) | Households - Rural (quintile 5) (hhd-r5) | 24.53107756
Ethiopia 2022 SAM | Activities - Roots (aroot) | Households - Urban (quintile 1) (hhd-u1) | 0.127753983
Ethiopia 2022 SAM | Activities - Roots (aroot) | Households - Urban (quintile 2) (hhd-u2) | 0.137019247
Ethiopia 2022 SAM | Activities - Roots (aroot) | Households - Urban (quintile 3) (hhd-u3) | 0.21122836
Ethiopia 2022 SAM | Activities - Roots (aroot) | Households - Urban (quintile 4) (hhd-u4) | 0.581110242
Ethiopia 2022 SAM | Activities - Roots (aroot) | Households - Urban (quintile 5) (hhd-u5) | 0.915114276
Ethiopia 2022 SAM | Activities - Roots (aroot) | Total (total) | 183.9538193
Ethiopia 2022 SAM | Activities - Vegetables (avege) | Commodities - Vegetables (cvege) | 105.7312043
Ethiopia 2022 SAM | Activities - Vegetables (avege) | Households - Rural (quintile 1) (hhd-r1) | 5.443843275
Ethiopia 2022 SAM | Activities - Vegetables (avege) | Households - Rural (quintile 2) (hhd-r2) | 5.406378315
Ethiopia 2022 SAM | Activities - Vegetables (avege) | Households - Rural (quintile 3) (hhd-r3) | 10.44943617
Ethiopia 2022 SAM | Activities - Vegetables (avege) | Households - Rural (quintile 4) (hhd-r4) | 9.736517365
Ethiopia 2022 SAM | Activities - Vegetables (avege) | Households - Rural (quintile 5) (hhd-r5) | 7.991477786
Ethiopia 2022 SAM | Activities - Vegetables (avege) | Households - Urban (quintile 1) (hhd-u1) | 0.157270706
