=== PAGE 1 ===
# UN Comtrade (comtradeapi.un.org public preview API, annual HS data) rows retrieved 2026-09-24 with tools/comtrade_pull_3.py, one line per record.
# (1) Imports of fresh or chilled bovine meat (HS 0201) in 2023 by the six GCC states, by partner (0 = World).
# (2) Imports from Somalia (706) of lac, natural gums, resins and gum-resins (HS 1301) and essential oils (HS 3301) in 2023; twelve partners queried, eleven reporting (Oman none).
# Filter: partner2Code 0, customsCode C00, motCode 0. Values in current USD; net weight in kg (blank where not reported). Partner names from UN Comtrade M49 codes.
# Format: Reporter (code) | Flow | Partner (code) | HS code | Year | Trade value USD | Net weight kg | Quantity | Quantity unit code | HS version
Saudi Arabia (682) | Import | Sudan (729) | HS 0201 | 2023 | 4017196.7 | 443177.555 | 443177.555 | 8 | H6
Saudi Arabia (682) | Import | Argentina (32) | HS 0201 | 2023 | 10095.2 | 1323.257 | 1323.257 | 8 | H6
Saudi Arabia (682) | Import | Kazakhstan (398) | HS 0201 | 2023 | 30441.066 | 3037.691 | 3037.691 | 8 | H6
Saudi Arabia (682) | Import | Uruguay (858) | HS 0201 | 2023 | 423813.323 | 44329.049 | 44329.049 | 8 | H6
Saudi Arabia (682) | Import | Ethiopia (231) | HS 0201 | 2023 | 20155605.363 | 2015047.173 | 2015047.173 | 8 | H6
Saudi Arabia (682) | Import | Estonia (233) | HS 0201 | 2023 | 13200.0 | 1317.218 | 1317.218 | 8 | H6
Saudi Arabia (682) | Import | United Rep. of Tanzania (834) | HS 0201 | 2023 | 3613915.11 | 367922.847 | 367922.847 | 8 | H6
Saudi Arabia (682) | Import | Colombia (170) | HS 0201 | 2023 | 1594595.96 | 159123.508 | 159123.508 | 8 | H6
Saudi Arabia (682) | Import | Kenya (404) | HS 0201 | 2023 | 7101310.489 | 725851.255 | 725851.255 | 8 | H6
Saudi Arabia (682) | Import | New Zealand (554) | HS 0201 | 2023 | 4095309.498 | 409547.882 | 409547.882 | 8 | H6
Saudi Arabia (682) | Import | Bangladesh (50) | HS 0201 | 2023 | 4790.4 | 712.54 | 712.54 | 8 | H6
Saudi Arabia (682) | Import | Russian Federation (643) | HS 0201 | 2023 | 9644423.226 | 963600.341 | 963600.341 | 8 | H6
Saudi Arabia (682) | Import | Brazil (76) | HS 0201 | 2023 | 75044219.191 | 7488605.062 | 7488605.062 | 8 | H6
Saudi Arabia (682) | Import | Pakistan (586) | HS 0201 | 2023 | 96404803.19 | 12300980.367 | 12300980.367 | 8 | H6
Saudi Arabia (682) | Import | Australia (36) | HS 0201 | 2023 | 51492336.846 | 5283728.239 | 5283728.239 | 8 | H6
Saudi Arabia (682) | Import | Poland (616) | HS 0201 | 2023 | 219916.528 | 21945.302 | 21945.302 | 8 | H6
Saudi Arabia (682) | Import | Canada (124) | HS 0201 | 2023 | 1923425.019 | 193388.206 | 193388.206 | 8 | H6
Saudi Arabia (682) | Import | Japan (392) | HS 0201 | 2023 | 196356.795 | 23296.108 | 23296.108 | 8 | H6
Saudi Arabia (682) | Import | Netherlands (528) | HS 0201 | 2023 | 2102110.614 | 219269.098 | 219269.098 | 8 | H6
Saudi Arabia (682) | Import | Spain (724) | HS 0201 | 2023 | 989963.175 | 98802.639 | 98802.639 | 8 | H6
Saudi Arabia (682) | Import | United Arab Emirates (784) | HS 0201 | 2023 | 253994.927 | 27673.626 | 27673.626 | 8 | H6
Saudi Arabia (682) | Import | United Kingdom (826) | HS 0201 | 2023 | 27869.866 | 2781.113 | 2781.113 | 8 | H6
Saudi Arabia (682) | Import | Italy (380) | HS 0201 | 2023 | 844551.179 | 106474.837 | 106474.837 | 8 | H6
Saudi Arabia (682) | Import | USA (842) | HS 0201 | 2023 | 769226.647 | 80048.773 | 80048.773 | 8 | H6
Saudi Arabia (682) | Import | India (699) | HS 0201 | 2023 | 31116176.022 | 3122118.14 | 3122118.14 | 8 | H6
Saudi Arabia (682) | Import | World (0) | HS 0201 | 2023 | 312089646.331 | 34104101.824 | 34104101.824 | 8 | H6
United Arab Emirates (784) | Import | World (0) | HS 0201 | 2023 | 485734159.914 | 81218236.91 | 81218236.91 | 8 | H6
United Arab Emirates (784) | Import | United Kingdom (826) | HS 0201 | 2023 | 34803.572 | 2539.0 | 2539.0 | 8 | H6
United Arab Emirates (784) | Import | USA (842) | HS 0201 | 2023 | 30638724.966 | 2115507.0 | 2115507.0 | 8 | H6
United Arab Emirates (784) | Import | Italy (380) | HS 0201 | 2023 | 278187.325 | 13594.98 | 13594.98 | 8 | H6
United Arab Emirates (784) | Import | India (699) | HS 0201 | 2023 | 32135507.127 | 7459969.0 | 7459969.0 | 8 | H6
United Arab Emirates (784) | Import | France (251) | HS 0201 | 2023 | 16629.331 | 1414.0 | 1414.0 | 8 | H6
United Arab Emirates (784) | Import | Netherlands (528) | HS 0201 | 2023 | 4564467.747 | 272201.9 | 272201.9 | 8 | H6
United Arab Emirates (784) | Import | Spain (724) | HS 0201 | 2023 | 151530.125 | 6660.96 | 6660.96 | 8 | H6
United Arab Emirates (784) | Import | Turkiye (792) | HS 0201 | 2023 | 26547.365 | 25000.0 | 25000.0 | 8 | H6
United Arab Emirates (784) | Import | Japan (392) | HS 0201 | 2023 | 201252.555 | 1839.6 | 1839.6 | 8 | H6
United Arab Emirates (784) | Import | Belgium (56) | HS 0201 | 2023 | 13226.023 | 1175.0 | 1175.0 | 8 | H6
United Arab Emirates (784) | Import | Saudi Arabia (682) | HS 0201 | 2023 | 88982.707 | 11600.0 | 11600.0 | 8 | H6
United Arab Emirates (784) | Import | Australia (36) | HS 0201 | 2023 | 126531054.114 | 7504306.3 | 7504306.3 | 8 | H6
